Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P09479,D0134,0.017,0.417,-0.593,830.64,0.209,-2.86,4.53,0.489,0,-0.76,65.2,0.163,-8.41,1.57,0.773
P04235,D0629,0.59,0.747,-0.868,880.94,0.321,3.21,4.89,0.603,0,0.45,19.2,0.782,-9.82,3.18,0.904
P01228,D0246,0.616,0.351,-0.222,522.12,0.662,5.57,4.61,0.601,0,-0.61,47.3,0.597,-6.87,1.19,0.033
P05808,D0187,0.476,0.357,0.438,398.06,0.087,4.93,8.34,0.213,0,-0.2,68.0,0.321,-7.95,0.91,0.425
P00765,D0390,0.634,0.453,-0.881,455.3,0.357,-0.13,4.66,0.645,0,-1.77,27.8,0.111,-7.04,2.18,0.196
P08489,D0531,0.851,0.499,-0.657,658.94,0.028,-1.25,4.16,0.664,0,-0.12,44.9,0.382,-6.79,4.94,0.488
P01486,D0228,0.254,0.38,0.265,694.69,0.606,-0.86,4.1,0.787,0,0.04,3.0,0.823,-2.03,1.74,0.488
P09165,D0228,0.538,0.729,0.413,433.55,0.854,0.46,6.05,0.687,0,1.2,58.3,0.544,-0.11,2.01,0.153
P01343,D0233,0.135,0.554,-0.996,784.78,0.902,-1.97,7.06,0.561,0,-0.36,32.1,0.995,-4.72,0.6,0.981
P09450,D0890,0.235,0.356,0.873,244.51,0.645,-0.27,5.14,0.478,0,-0.9,54.1,0.659,-0.89,2.48,0.492
P08542,D0591,0.305,0.427,-0.241,167.85,0.809,-0.71,5.45,0.398,0,1.77,60.1,0.59,-8.44,3.82,0.139
P05074,D0605,0.712,0.548,-0.277,884.82,0.761,6.72,4.59,0.989,0,-0.47,33.0,0.108,-9.74,2.36,0.569
P08566,D0550,0.147,0.464,0.677,840.23,0.021,3.7,6.3,0.164,0,-1.53,51.5,0.369,-6.1,4.7,0.258
P01899,D0523,0.696,0.373,-0.781,379.32,0.171,3.27,6.5,0.858,0,1.28,34.7,0.721,-8.96,3.6,0.855
P06333,D0483,0.094,0.649,-0.535,867.0,0.066,5.84,7.34,0.522,0,-1.51,68.0,0.658,0.12,2.46,0.614
P08334,D0256,0.68,0.774,0.708,384.68,0.28,-1.24,6.73,0.873,0,-0.08,67.2,0.767,-6.22,1.97,0.73
P04158,D0329,0.783,0.492,0.127,504.04,0.084,-2.28,5.34,0.222,0,1.49,46.0,0.878,-8.39,3.47,0.615
P05889,D0904,0.902,0.562,0.231,546.28,0.509,5.78,8.39,0.985,0,1.18,62.1,0.858,-9.8,0.37,0.833
P09972,D0334,0.83,0.685,-0.389,629.01,0.192,0.52,5.7,0.391,0,0.73,44.3,0.11,-3.04,4.74,0.483
P01509,D0108,0.639,0.392,0.069,544.25,0.171,0.85,7.5,0.463,0,0.22,60.3,0.296,-5.78,3.07,0.613
P07948,D0804,0.788,0.767,0.68,833.57,0.984,-2.69,7.56,0.931,1,1.32,16.0,0.93,-4.92,3.57,0.801
P01253,D0827,0.719,0.321,0.965,569.92,0.915,-2.85,4.55,0.803,0,-1.79,35.8,0.469,-9.13,4.72,0.729
P03267,D0874,0.473,0.566,-0.223,172.6,0.199,3.99,6.66,0.901,0,1.89,17.8,0.581,-5.91,3.85,0.543
P09400,D0156,0.787,0.39,-0.679,282.46,0.207,3.44,6.08,0.88,0,-1.97,66.0,0.926,-2.12,0.22,0.229
P05363,D0389,0.005,0.321,-0.277,868.62,0.733,-0.17,8.4,0.576,0,0.08,49.2,0.424,-5.29,2.17,0.681
P09756,D0776,0.804,0.403,-0.307,183.41,0.656,-0.86,5.97,0.186,1,-1.12,61.8,0.93,-6.32,0.73,0.712
P04291,D0762,0.924,0.439,-0.291,717.07,0.303,4.98,4.57,0.553,0,1.54,1.1,0.355,-2.32,1.72,0.71
P03054,D0248,0.914,0.409,-0.491,882.46,0.866,-2.19,8.39,0.997,0,1.64,37.6,0.404,-8.13,4.67,0.796
P05682,D0121,0.999,0.645,0.092,172.53,0.122,3.27,8.46,0.646,0,-0.98,21.0,0.708,-1.73,1.67,0.884
P04116,D0139,0.279,0.504,0.938,794.96,0.775,-1.99,7.63,0.971,0,1.81,59.0,0.997,-5.34,0.85,0.554
P03494,D0253,0.137,0.602,-0.894,678.19,0.907,6.78,6.9,0.809,0,0.82,50.6,0.357,-7.61,4.78,0.777
P00463,D0829,0.493,0.602,0.145,174.56,0.151,6.83,8.08,0.932,0,1.6,32.3,0.25,-2.29,1.19,0.392
P01307,D0585,0.343,0.479,0.912,599.19,0.557,-0.27,4.78,0.046,0,0.64,49.0,0.535,-6.46,2.84,0.989
P07842,D0598,0.457,0.316,-0.158,837.1,0.057,3.36,7.39,0.733,0,1.94,42.9,0.392,-2.81,1.0,0.8
P09505,D0781,0.363,0.625,0.091,483.92,0.81,-2.84,4.82,0.413,0,-0.86,10.1,0.807,-9.76,3.76,0.66
P01781,D0506,0.855,0.374,-0.783,707.61,0.728,0.31,7.81,0.656,0,-1.6,57.6,0.661,0.19,1.78,0.549
P06706,D0971,0.543,0.731,0.188,394.25,0.469,-0.63,4.69,0.56,0,0.87,31.5,0.723,-8.51,2.89,0.418
P06892,D0791,0.793,0.653,-0.227,445.35,0.292,-0.07,7.64,0.511,0,0.23,1.4,0.401,-1.16,3.13,0.879
P07482,D0424,0.298,0.497,0.454,666.43,0.18,1.12,4.59,0.69,0,1.3,18.0,0.516,-6.68,1.23,0.81
P09032,D0844,0.395,0.144,0.0,172.95,0.723,1.16,7.95,0.944,0,-0.05,15.4,0.175,-5.87,2.64,0.134
P07730,D0551,0.286,0.546,-0.785,699.64,0.693,0.92,4.79,0.585,0,1.66,47.5,0.222,-5.56,3.67,0.689
P02874,D0797,0.971,0.799,-0.683,347.25,0.521,5.22,6.18,0.64,1,0.02,37.1,0.58,-5.0,3.13,0.741
P09539,D0127,0.445,0.469,0.766,786.32,0.142,-2.44,8.33,0.163,0,1.36,53.6,0.459,-4.51,2.09,0.344
P02408,D0651,0.41,0.404,0.197,569.39,0.052,0.24,7.7,0.522,0,1.27,36.6,0.647,-1.11,0.75,0.489
P02466,D0282,0.84,0.5,-0.86,366.27,0.033,-2.76,8.29,0.895,0,-0.78,27.6,0.885,-5.16,4.75,0.604
P01679,D0471,0.757,0.573,-0.389,661.74,0.883,-2.19,7.27,0.385,1,0.45,20.9,0.745,-4.93,4.49,0.227
P09528,D0379,0.92,0.638,0.514,835.89,0.123,4.92,5.91,0.135,0,-0.73,56.6,0.83,-9.42,3.6,0.074
P05033,D0038,0.754,0.468,0.159,538.06,0.486,-1.35,5.74,0.005,0,0.24,13.7,0.876,-8.21,3.84,0.049
P05630,D0617,0.347,0.376,0.757,796.57,0.825,0.47,4.72,0.364,0,0.76,33.2,0.608,-5.62,4.42,0.184
P02622,D0891,0.302,0.777,-0.426,851.93,0.461,5.36,6.2,0.956,0,1.12,72.0,0.958,-0.95,3.35,0.956
P02490,D0626,0.685,0.244,0.746,431.58,0.011,4.04,8.5,0.861,0,0.57,42.9,0.816,-7.71,3.41,0.119
P07852,D0471,0.13,0.649,-0.151,772.01,0.808,-0.98,7.84,0.966,0,1.86,14.0,0.546,0.72,1.1,0.719
P09542,D0861,0.089,0.594,0.941,733.29,0.095,6.92,4.18,0.092,0,-0.58,16.8,0.081,-2.48,3.49,0.917
P01077,D0668,0.794,0.632,0.695,567.3,0.509,-0.32,4.96,0.211,1,-0.3,51.1,0.715,-3.74,4.18,0.475
P09153,D0457,0.636,0.396,0.843,191.31,0.819,-0.15,7.33,0.527,0,0.21,20.2,0.696,-2.11,4.66,0.302
P00597,D0033,0.219,0.347,0.672,752.45,0.57,3.52,5.1,0.89,0,0.44,4.2,0.332,-2.24,3.09,0.199
P00881,D0113,0.669,0.522,0.488,189.51,0.199,4.11,6.04,0.288,0,0.01,61.4,0.348,0.48,3.9,0.461
P05392,D0141,0.309,0.373,0.597,875.45,0.125,2.85,8.61,0.286,0,-0.84,16.2,0.703,-8.71,1.91,0.46
P09952,D0475,0.284,0.354,0.116,492.5,0.986,-1.38,8.64,0.856,0,-1.13,40.6,0.729,-1.92,3.64,0.78
P00202,D0108,0.273,0.416,-0.217,170.08,0.248,-2.24,5.32,0.089,0,0.68,15.8,0.613,0.34,4.0,0.367
P05048,D0039,0.507,0.495,-0.187,322.91,0.014,6.33,6.92,0.843,0,1.65,7.1,0.231,-3.14,1.79,0.806
P02785,D0861,0.941,0.61,-0.143,322.15,0.372,0.48,7.51,0.597,0,1.48,69.6,0.832,-8.97,0.61,0.05
P05617,D0546,0.948,0.339,0.01,797.68,0.734,5.48,5.09,0.044,1,0.39,3.0,0.96,-9.21,1.53,0.054
P01332,D0606,0.546,0.774,0.355,205.49,0.415,-1.28,4.44,0.858,0,-1.08,60.3,0.32,-5.05,3.98,0.22
P02663,D0075,0.869,0.07,-0.268,279.37,0.158,2.07,5.64,0.515,0,1.78,67.5,0.935,-5.28,4.61,0.255
P08607,D0773,0.505,0.612,0.363,425.28,0.194,5.78,8.79,0.119,0,-0.29,36.8,0.294,-8.36,1.54,0.4
P09794,D0874,0.492,0.665,-0.327,282.96,0.718,0.82,8.2,0.786,0,-1.65,13.1,0.182,-1.24,4.71,0.307
P02145,D0202,0.038,0.688,0.144,293.96,0.934,-2.84,4.57,0.503,0,0.68,12.5,0.421,0.25,2.5,0.92
P00745,D0952,0.745,0.467,0.318,309.78,0.268,6.44,8.38,0.477,0,1.69,13.5,0.433,0.1,4.97,0.243
P04330,D0799,0.637,0.438,-0.216,256.86,0.929,3.35,7.31,0.1,1,-1.36,12.1,0.86,-4.26,3.02,0.757
P01780,D0807,0.367,0.78,0.088,613.92,0.128,-0.82,6.47,0.227,0,0.22,63.3,0.602,-5.88,0.87,0.405
P02622,D0674,0.147,0.218,-0.967,203.12,0.093,4.59,6.67,0.19,0,0.78,51.4,0.046,-1.61,3.76,0.707
P05466,D0076,0.99,0.412,-0.048,417.47,0.17,-0.55,7.7,0.738,0,-1.51,23.2,0.35,-8.97,1.76,0.79
P07982,D0204,0.817,0.35,0.643,653.86,0.392,-2.26,6.51,0.494,0,-0.48,6.1,0.031,-4.23,2.99,0.423
P05770,D0749,0.627,0.641,-0.402,382.76,0.535,-2.85,6.62,0.296,0,0.58,59.9,0.075,-6.86,1.39,0.786
P01139,D0360,0.017,0.502,-0.468,407.83,0.23,-2.93,5.65,0.577,0,1.72,28.2,0.663,-2.65,3.64,0.288
P04116,D0942,0.87,0.27,0.545,725.98,0.082,-1.94,7.78,0.159,0,-0.89,62.9,0.2,-5.45,0.53,0.048
P03151,D0136,0.61,0.375,-0.359,739.18,0.736,1.47,5.65,0.158,0,-1.81,23.3,0.544,-5.26,2.85,0.823
P01769,D0968,0.158,0.437,-0.222,705.33,0.293,6.7,8.4,0.429,0,0.75,35.2,0.379,-7.79,0.61,0.402
P00376,D0215,0.814,0.583,0.643,399.7,0.546,2.07,7.82,0.765,0,-0.36,14.1,0.089,-4.02,4.57,0.42
P01310,D0462,0.604,0.281,-0.871,547.95,0.765,-0.67,6.41,0.163,0,1.66,24.3,0.913,-7.81,0.87,0.663
P07043,D0706,0.531,0.764,0.87,805.18,0.105,4.86,6.87,0.286,0,-1.09,50.3,0.363,-2.48,1.9,0.818
P08215,D0275,0.14,0.542,-0.605,470.19,0.513,5.25,8.72,0.361,0,-1.7,42.5,0.92,-0.02,1.32,0.669
P01521,D0718,0.255,0.591,-0.568,354.66,0.835,3.05,6.49,0.82,0,0.74,57.3,0.421,-0.04,3.63,0.408
P04809,D0874,0.69,0.548,0.547,171.59,0.36,0.53,7.87,0.677,0,1.77,7.6,0.934,-4.13,0.42,0.319
P07082,D0158,0.35,0.616,-0.757,578.04,0.531,1.06,4.93,0.7,0,0.24,71.3,0.549,-6.01,1.06,0.351
P02644,D0711,0.347,0.198,-0.718,311.28,0.94,3.85,5.48,0.184,0,-0.12,52.3,0.517,-7.35,3.27,0.323
P05403,D0238,0.18,0.725,-0.817,697.03,0.744,-1.44,4.65,0.319,0,-1.05,3.3,0.391,-7.13,1.22,0.621
P05885,D0661,0.206,0.694,0.21,213.14,0.391,-1.95,5.92,0.793,0,-1.59,22.3,0.859,-0.9,3.55,0.737
P04238,D0279,0.674,0.576,0.683,460.41,0.145,-0.31,8.65,0.963,0,1.35,15.5,0.633,-1.65,0.92,0.336
P01896,D0981,0.922,0.791,-0.64,400.7,0.272,3.46,4.29,0.649,0,-0.69,27.4,0.049,0.56,3.32,0.342
P06738,D0929,0.054,0.356,-0.21,359.72,0.553,0.64,7.69,0.139,0,-1.47,71.2,0.823,-5.55,2.39,0.179
P00503,D0108,0.492,0.366,0.36,891.53,0.166,-1.37,8.23,0.8,0,-0.38,10.8,0.432,-6.02,0.22,0.477
P01192,D0975,0.956,0.481,-0.39,224.23,0.356,2.91,6.62,0.952,0,1.15,61.5,0.709,-8.53,3.09,0.728
P00839,D0772,0.535,0.393,-0.611,151.84,0.653,1.44,7.59,0.719,0,-0.15,66.6,0.438,-3.89,2.65,0.322
P01059,D0629,0.423,0.515,0.812,161.17,0.932,4.28,8.58,0.769,0,-0.61,32.5,0.617,-7.93,1.65,0.595
P02277,D0337,0.29,0.67,0.405,227.37,0.225,4.11,7.15,0.253,0,-0.91,37.3,0.945,-5.21,4.03,0.439
P05625,D0521,0.754,0.549,0.851,786.38,0.254,6.41,8.59,0.485,0,-0.04,31.5,0.539,0.61,2.22,0.603
P03825,D0555,0.895,0.547,0.562,272.38,0.685,3.85,5.29,0.642,0,0.34,31.3,0.074,0.3,2.75,0.503
P08592,D0658,0.99,0.333,-0.304,579.8,0.12,4.03,4.09,0.1,0,-1.68,69.3,0.758,-8.41,4.78,0.364
P04844,D0144,0.309,0.489,-0.949,627.27,0.165,-1.65,4.87,0.438,0,0.03,15.3,0.344,-5.88,3.42,0.729
P07308,D0853,0.127,0.479,-0.066,725.22,0.175,-1.44,8.69,0.197,0,-1.64,70.4,0.678,-0.26,0.33,0.42
P02811,D0219,0.724,0.456,-0.266,247.93,0.651,4.6,6.42,0.425,0,-0.62,60.8,0.154,-8.38,4.18,0.441
P06591,D0321,0.831,0.668,0.01,246.59,0.467,4.07,6.33,0.94,0,-0.02,50.6,0.566,-6.59,0.95,0.794
P09425,D0945,0.873,0.558,-0.975,382.95,0.122,-0.75,8.24,0.858,0,-0.17,1.8,0.35,-8.99,3.39,0.115
P02197,D0112,0.604,0.349,0.067,227.32,0.273,-0.93,8.07,0.478,0,-1.75,49.9,0.318,0.31,4.32,0.694
P08482,D0497,0.96,0.501,-0.174,357.95,0.461,-1.08,6.27,0.546,0,-0.78,15.0,0.337,-5.53,4.46,0.791
P09271,D0297,0.112,0.641,0.361,595.76,0.309,-1.09,7.71,0.202,0,-0.54,2.1,0.756,-6.9,0.87,0.729
P00002,D0293,0.308,0.549,-0.462,471.56,0.416,-2.52,6.55,0.197,0,-0.11,71.0,0.743,-7.47,2.43,0.447
P04383,D0647,0.3,0.547,0.638,372.74,0.917,3.94,5.65,0.651,0,1.05,65.9,0.319,-3.94,2.24,0.281
P08916,D0771,0.399,0.374,0.86,401.98,0.965,1.74,6.13,0.366,0,-1.82,31.5,0.184,-6.66,2.43,0.316
P09592,D0808,0.751,0.64,-0.669,325.3,0.992,-2.45,7.46,0.871,1,0.15,52.6,0.177,-7.36,0.69,0.5
P02170,D0676,0.02,0.326,0.293,485.89,0.026,2.38,5.31,0.815,0,0.95,66.2,0.463,-4.92,3.47,0.994
P09182,D0894,0.017,0.484,0.267,494.31,0.715,-2.54,4.81,0.835,0,-0.66,18.0,0.62,-1.8,3.04,0.252
P08905,D0619,0.137,0.535,-0.32,822.03,0.935,3.39,5.22,0.376,0,-0.54,67.1,0.364,-4.09,3.97,0.148
P03151,D0631,0.186,0.592,-0.773,651.01,0.904,3.93,8.45,0.862,0,0.17,26.1,0.049,-0.09,4.66,0.494
P08122,D0939,0.989,0.504,0.337,622.93,0.025,4.46,7.06,0.336,0,1.93,53.1,0.459,-9.94,1.78,0.188
P08089,D0056,0.258,0.483,-0.089,346.39,0.807,2.11,5.58,0.659,0,-1.77,5.1,0.66,-3.27,3.53,0.751
P06843,D0899,0.457,0.288,-0.618,405.76,0.459,4.06,7.05,0.334,0,0.0,28.6,0.576,-1.93,2.77,0.053
P01235,D0176,0.029,0.456,-0.886,804.27,0.85,3.99,8.23,0.822,0,-0.51,34.5,0.313,-8.4,4.73,0.132
P06884,D0943,0.93,0.638,0.892,574.58,0.716,5.38,6.01,0.34,1,0.82,2.6,0.506,-7.4,3.97,0.43
P03383,D0451,0.047,0.591,-0.182,285.13,0.44,3.84,4.93,0.925,0,-1.78,58.7,0.127,-1.66,1.16,0.411
P09477,D0787,0.902,0.482,0.497,694.79,0.295,-2.6,5.26,0.828,0,-0.58,16.4,0.389,-0.6,1.58,0.684
P04562,D0320,0.2,0.627,-0.727,198.17,0.001,-0.78,7.71,0.677,0,-2.0,64.2,0.184,-9.2,2.56,0.117
P00998,D0238,0.909,0.575,0.248,820.12,0.54,0.53,5.17,0.134,1,0.06,58.6,0.832,-5.39,1.24,0.263
P08646,D0782,0.331,0.828,-0.95,559.59,0.399,-1.15,5.52,0.77,0,-1.66,55.5,0.395,-7.7,2.04,0.623
P07182,D0170,0.477,0.435,-0.155,885.36,0.339,4.47,8.59,0.768,0,1.36,49.9,0.478,0.23,2.56,0.868
P08081,D0293,0.711,0.472,-0.509,357.31,0.468,-0.25,7.05,0.867,0,1.46,31.6,0.242,-6.43,4.7,0.223
P09381,D0537,0.743,0.429,-0.329,232.8,0.476,2.24,4.55,0.362,0,1.0,4.6,0.711,-2.33,0.46,0.367
P03263,D0939,0.034,0.509,0.248,517.42,0.576,0.05,7.96,0.489,0,-1.65,68.3,0.667,-4.25,4.09,0.385
P09178,D0548,0.019,0.398,-0.29,560.74,0.658,3.79,5.13,0.105,0,-0.93,38.9,0.194,-3.97,2.4,0.592
P09009,D0973,0.322,0.508,-0.506,714.81,0.164,3.76,6.39,0.654,0,-1.97,55.5,0.103,-4.19,4.42,0.49
P01336,D0276,0.512,0.609,0.429,600.74,0.222,6.73,4.06,0.769,0,0.99,46.3,0.121,-6.8,0.33,0.599
P05107,D0132,0.873,0.743,0.084,451.59,0.457,3.13,8.79,0.559,0,1.44,61.1,0.477,-2.51,2.86,0.17
P04276,D0466,0.181,0.577,0.255,289.67,0.266,5.3,8.15,0.485,0,0.22,52.4,0.975,0.72,3.28,0.243
P07273,D0377,0.373,0.754,-0.235,816.05,0.795,4.26,8.92,0.736,0,1.59,26.8,0.845,-9.4,4.63,0.016
P02171,D0164,0.435,0.391,-0.489,384.49,0.481,-2.89,7.19,0.63,0,-1.8,63.4,0.47,-4.04,2.8,0.849
P07545,D0123,0.488,0.701,-0.501,310.08,0.535,-0.26,7.83,0.8,0,0.19,15.3,0.673,-4.54,4.19,0.833
P04546,D0875,0.705,0.489,0.985,348.19,0.561,-2.47,4.6,0.281,0,1.08,29.2,0.436,-6.96,4.88,0.594
P01164,D0656,0.91,0.191,0.332,559.66,0.726,-2.72,5.79,0.712,0,1.35,34.7,0.986,-1.16,1.65,0.459
P04815,D0237,0.129,0.181,-0.8,160.28,0.706,2.89,5.7,0.191,0,-1.67,68.9,0.385,0.19,4.97,0.716
P04188,D0785,0.47,0.509,0.287,731.65,0.687,-1.11,4.53,0.835,0,-0.49,26.3,0.971,0.88,0.96,0.076
P07578,D0780,0.985,0.277,-0.794,744.15,0.082,2.99,5.7,0.752,0,-1.74,36.7,0.803,-9.19,3.46,0.978
P05732,D0348,0.599,0.497,-0.401,806.76,0.752,0.73,7.23,0.673,0,0.43,31.1,0.399,-1.62,3.29,0.956
P06297,D0486,0.849,0.527,0.691,762.79,0.791,6.33,4.99,0.297,1,-0.68,57.3,0.84,-5.47,0.74,0.13
P08560,D0377,0.89,0.509,0.829,216.1,0.642,-1.06,5.41,0.263,1,1.73,4.2,0.607,-3.91,0.54,0.989
P06284,D0359,0.071,0.413,0.72,547.31,0.852,2.05,5.63,0.885,0,-0.8,39.4,0.679,0.22,3.05,0.47
P05307,D0659,0.481,0.861,0.109,275.99,0.305,1.65,8.72,0.45,0,0.08,34.6,0.154,-4.86,2.14,0.477
P00009,D0342,0.962,0.541,-0.094,228.25,0.078,-0.25,7.91,0.636,0,-1.38,33.2,0.808,-9.87,0.51,0.421
P07284,D0400,0.149,0.604,-0.509,152.77,0.306,0.78,4.66,0.037,0,-0.55,39.1,0.339,-4.23,3.79,0.795
P07746,D0696,0.188,0.633,0.596,172.93,0.72,-2.45,8.57,0.561,0,1.76,59.9,0.193,0.36,0.62,0.615
P06965,D0227,0.506,0.277,0.246,414.14,0.773,-2.57,7.93,0.161,0,1.22,25.3,0.817,-3.24,4.08,0.519
P05199,D0341,0.133,0.624,0.059,163.69,0.619,-2.37,6.08,0.529,0,-1.5,34.6,0.847,-2.59,0.6,0.098
P01817,D0733,0.86,0.613,-0.482,471.27,0.169,3.58,5.24,0.235,0,1.04,64.1,0.862,0.66,3.6,0.527
P04801,D0076,0.763,0.422,-0.379,249.43,0.734,-1.92,5.65,0.996,0,-0.58,66.0,0.881,-1.98,4.36,0.121
P01950,D0891,0.85,0.572,-0.51,768.2,0.011,1.1,6.45,0.409,0,-0.84,60.7,0.823,-2.05,4.29,0.779
P01207,D0917,0.405,0.569,0.276,436.55,0.058,1.87,7.35,0.624,0,1.48,51.6,0.274,-1.97,3.77,0.406
P05984,D0781,0.647,0.614,0.223,629.67,0.093,1.57,8.39,0.599,0,-0.47,69.5,0.598,-4.65,1.02,0.61
P00640,D0456,0.327,0.699,-0.657,504.42,0.247,-2.69,4.39,0.363,0,1.76,61.5,0.44,-6.13,2.42,0.513
P07277,D0854,0.063,0.589,-0.336,493.1,0.445,0.39,5.9,0.17,0,-1.81,63.8,0.415,-0.84,1.84,0.325
P06765,D0987,0.775,0.401,-0.966,505.4,0.54,6.68,6.92,0.687,0,-0.6,7.3,0.643,-8.43,2.34,0.931
P00423,D0869,0.972,0.43,-0.645,359.48,0.515,2.72,7.27,0.052,1,0.96,7.2,0.744,-2.33,3.76,0.266
P05700,D0500,0.286,0.483,0.057,242.77,0.727,0.66,5.83,0.712,0,-1.46,46.6,0.67,-2.8,4.3,0.862
P01473,D0093,0.288,0.39,-0.245,813.18,0.13,3.94,5.58,0.57,0,-1.7,63.4,0.365,-4.17,3.32,0.779
P04717,D0881,0.207,0.356,0.174,715.61,0.603,0.23,6.33,0.586,0,0.13,12.5,0.923,-5.99,0.17,0.459
P01761,D0299,0.427,0.502,-0.158,338.08,0.472,4.72,5.77,0.92,0,0.51,25.2,0.238,-4.85,0.72,0.016
P06439,D0352,0.376,0.276,-0.813,162.5,0.678,1.4,7.2,0.727,0,-1.9,69.5,0.051,-2.66,1.77,0.31
P08320,D0092,0.885,0.405,0.333,546.58,0.975,4.78,4.72,0.99,0,0.03,47.3,0.072,-1.76,4.55,0.481
P05759,D0114,0.79,0.528,0.89,217.19,0.371,4.71,5.1,0.394,0,0.77,46.4,0.041,-9.27,3.06,0.294
P08863,D0795,0.881,0.646,-0.453,683.3,0.246,0.34,4.34,0.699,0,0.48,44.5,0.951,-5.6,4.03,0.276
P04153,D0276,0.919,0.491,-0.585,379.71,0.858,0.7,5.22,0.133,1,-1.53,49.2,0.271,-8.55,2.35,0.794
P06265,D0407,0.679,0.304,0.676,590.89,0.292,1.84,7.55,0.87,0,1.48,11.8,0.626,-2.82,4.67,0.273
P07223,D0009,0.643,0.491,-0.458,479.72,0.861,2.99,4.26,0.684,0,-1.63,51.8,0.733,-1.76,1.46,0.452
P06806,D0067,0.466,0.416,-0.244,216.99,0.057,6.59,6.91,0.467,0,-0.34,6.2,0.927,-2.4,4.33,0.484
P07353,D0152,0.083,0.507,-0.556,883.69,0.063,3.72,6.07,0.54,0,-1.0,18.2,0.649,-9.05,0.95,0.969
P09215,D0641,0.446,0.64,0.257,150.93,0.627,0.1,7.98,0.21,0,0.49,54.9,0.173,-5.22,3.66,0.194
P09503,D0807,0.363,0.486,-0.1,849.67,0.283,3.86,8.17,0.953,0,-0.55,38.3,0.34,-5.03,3.45,0.081
P09239,D0609,0.378,0.528,-0.26,673.67,0.392,-1.23,8.72,0.567,0,0.08,28.7,0.039,-3.04,0.65,0.859
P06791,D0284,0.501,0.613,-0.479,561.12,0.018,2.22,6.19,0.009,0,0.92,47.5,0.235,-1.67,4.22,0.131
P03102,D0716,0.527,0.642,0.909,771.31,0.52,2.04,8.71,0.353,0,-0.19,70.1,0.222,-5.28,4.16,0.512
P06611,D0130,0.216,0.409,-0.829,171.44,0.014,-1.67,4.59,0.416,0,0.76,9.4,0.274,0.08,4.35,0.54
P09941,D0497,0.275,0.572,-0.451,252.84,0.856,2.15,4.49,0.421,0,1.45,10.1,0.893,-8.08,1.38,0.26
P01493,D0662,0.203,0.484,-0.308,599.64,0.675,4.16,5.39,0.792,0,-1.21,24.8,0.593,-5.41,0.8,0.388
P01793,D0231,0.736,0.433,0.635,549.42,0.438,1.93,8.17,0.849,0,-0.15,61.2,0.693,-0.59,2.36,0.292
P01396,D0847,0.964,0.181,0.903,562.19,0.641,1.0,4.35,0.69,0,0.55,47.7,0.638,-0.9,4.31,0.565
P05074,D0337,0.245,0.708,-0.985,790.28,0.471,3.6,5.56,0.365,0,0.43,52.8,0.055,0.65,4.02,0.891
P04855,D0440,0.864,0.92,0.92,649.64,0.162,1.92,8.6,0.44,0,-0.36,55.8,0.517,-8.98,3.48,0.206
P08967,D0328,0.73,0.399,0.924,415.4,0.536,0.37,6.8,0.655,0,-0.96,31.9,0.645,-1.41,4.93,0.481
P09507,D0497,0.306,0.576,0.823,605.61,0.918,1.46,4.19,0.636,0,-1.93,22.1,0.857,-1.63,3.28,0.046
P09616,D0733,0.525,0.436,0.839,672.39,0.635,-2.22,5.42,0.853,0,1.81,50.9,0.908,0.95,4.51,0.927
P04682,D0542,0.61,0.618,0.605,294.89,0.82,5.12,7.24,0.965,0,-1.7,34.5,0.221,-4.51,2.33,0.861
P07783,D0226,0.771,0.508,-0.4,169.84,0.251,0.43,4.1,0.318,0,-0.2,70.7,0.187,-1.18,3.98,0.878
P02815,D0238,0.544,0.718,0.603,527.85,0.414,3.19,6.44,0.614,0,-0.3,21.1,0.474,0.93,3.46,0.607
P05019,D0093,0.656,0.544,-0.022,656.28,0.277,2.57,8.97,0.303,0,1.69,33.2,0.414,-9.77,0.33,0.222
P05255,D0021,0.321,0.193,0.081,801.53,0.753,-1.12,5.67,0.63,0,-1.15,9.3,0.759,-1.94,1.93,0.838
P00490,D0519,0.123,0.15,-0.954,586.56,0.638,0.54,5.15,0.485,0,1.11,20.9,0.365,-8.66,4.13,0.749
P06591,D0626,0.06,0.46,-0.05,590.36,0.572,6.65,4.41,0.541,0,-1.55,31.4,0.978,-2.11,1.95,0.49
P05169,D0452,0.292,0.153,-0.458,529.87,0.007,4.36,4.13,0.335,0,-1.76,24.1,0.64,-5.79,1.54,0.494
P01546,D0637,0.668,0.522,-0.325,843.48,0.858,1.11,8.05,0.714,0,1.83,23.9,0.226,-9.21,0.23,0.768
P07765,D0788,0.089,0.522,-0.049,794.44,0.913,5.94,5.38,0.959,0,-1.71,70.2,0.377,-1.41,0.86,0.875
P04223,D0572,0.739,0.349,0.376,531.1,0.702,2.86,4.15,0.063,1,-1.33,44.1,0.664,-7.1,0.87,0.067
P00579,D0323,0.407,0.588,-0.848,657.54,0.884,5.46,6.87,0.997,0,1.02,17.6,0.611,-9.31,4.66,0.476
